month,target_sales
2024-01-01,1000
2024-02-01,2400
2024-03-01,3800
2024-04-01,5200
2024-05-01,6600
2024-06-01,8000
2024-07-01,9400
2024-08-01,10800
2024-09-01,12200
2024-10-01,13600
2024-11-01,15000
2024-12-01,16400
2025-01-01,17800
2025-02-01,19200
2025-03-01,20600
2025-04-01,22000
2025-05-01,23400
2025-06-01,24800
2025-07-01,26200
2025-08-01,27600
2025-09-01,29000
2025-10-01,30400
2025-11-01,31800
2025-12-01,33200
2026-01-01,34600
2026-02-01,36000
2026-03-01,37400
2026-04-01,38800
2026-05-01,40200
2026-06-01,41600
2026-07-01,43000
2026-08-01,44400
2026-09-01,45800
2026-10-01,47200
2026-11-01,48600
2026-12-01,50000
